Employee_ID,Module,Completion_Pct,Due_Date
EMP001,SFDC Basics,42.8,2026-03-27
EMP001,Collection Mgmt,48.5,2026-03-28
EMP001,Negotiation,48.8,2026-04-12
EMP002,Cross-sell,70.6,2026-01-03
EMP002,Collection Mgmt,68.9,2026-04-07
EMP002,Negotiation,60.1,2026-04-10
EMP003,Negotiation,56.0,2026-01-20
EMP003,Collection Mgmt,70.2,2026-04-24
EMP003,Product Knowledge,84.6,2026-03-08
EMP004,Cross-sell,49.8,2026-03-13
EMP004,SFDC Basics,92.5,2026-02-03
EMP004,Collection Mgmt,94.8,2026-02-23
EMP005,Negotiation,80.2,2026-03-17
EMP005,SFDC Basics,54.9,2026-03-06
EMP005,Collection Mgmt,77.2,2026-02-26
EMP006,Negotiation,63.5,2026-02-08
EMP006,SFDC Basics,87.3,2026-05-23
EMP006,Product Knowledge,82.4,2026-05-14
EMP007,Negotiation,73.1,2026-06-21
EMP007,Product Knowledge,92.4,2026-02-27
EMP007,Cross-sell,53.6,2026-06-10
EMP008,Negotiation,86.3,2026-05-16
EMP008,Product Knowledge,44.5,2026-01-17
EMP008,Collection Mgmt,65.5,2026-06-02
EMP009,SFDC Basics,69.6,2026-06-07
EMP009,Collection Mgmt,80.2,2026-06-24
EMP009,Product Knowledge,40.6,2026-03-13
EMP010,Product Knowledge,59.1,2026-02-02
EMP010,Cross-sell,72.8,2026-03-20
EMP010,Collection Mgmt,43.3,2026-05-22
EMP011,Product Knowledge,84.9,2026-04-24
EMP011,SFDC Basics,55.7,2026-05-10
EMP011,Negotiation,51.4,2026-02-15
EMP012,Cross-sell,68.0,2026-02-05
EMP012,Collection Mgmt,75.5,2026-02-04
EMP012,SFDC Basics,58.0,2026-03-01
EMP013,SFDC Basics,54.5,2026-06-12
EMP013,Cross-sell,76.0,2026-04-20
EMP013,Negotiation,51.8,2026-06-04
EMP014,Product Knowledge,61.1,2026-02-16
EMP014,Collection Mgmt,67.7,2026-01-18
EMP014,SFDC Basics,59.9,2026-04-21
EMP015,Negotiation,92.0,2026-01-19
EMP015,Product Knowledge,64.8,2026-01-21
EMP015,Cross-sell,55.7,2026-01-16
EMP016,Collection Mgmt,64.7,2026-03-25
EMP016,SFDC Basics,54.9,2026-01-24
EMP016,Product Knowledge,76.5,2026-04-17
EMP017,SFDC Basics,78.7,2026-04-06
EMP017,Collection Mgmt,45.7,2026-02-10
EMP017,Product Knowledge,56.7,2026-04-03
EMP018,SFDC Basics,87.1,2026-01-18
EMP018,Cross-sell,72.0,2026-04-07
EMP018,Collection Mgmt,79.6,2026-06-16
EMP019,Collection Mgmt,54.4,2026-02-19
EMP019,Negotiation,72.9,2026-02-01
EMP019,Product Knowledge,91.6,2026-01-19
EMP020,SFDC Basics,50.0,2026-06-15
EMP020,Collection Mgmt,82.2,2026-05-13
EMP020,Cross-sell,58.1,2026-05-26
EMP021,Negotiation,46.4,2026-03-16
EMP021,Collection Mgmt,87.6,2026-02-21
EMP021,Cross-sell,94.8,2026-06-11
EMP022,Product Knowledge,79.4,2026-05-25
EMP022,Negotiation,85.6,2026-04-09
EMP022,SFDC Basics,71.5,2026-04-21
EMP023,Collection Mgmt,66.4,2026-03-20
EMP023,SFDC Basics,59.8,2026-05-26
EMP023,Cross-sell,53.4,2026-04-08
EMP024,Cross-sell,49.5,2026-01-12
EMP024,Product Knowledge,50.5,2026-05-12
EMP024,Negotiation,61.2,2026-02-10
EMP025,SFDC Basics,95.5,2026-04-01
EMP025,Cross-sell,50.4,2026-06-22
EMP025,Product Knowledge,90.1,2026-06-11
EMP026,Product Knowledge,93.7,2026-05-25
EMP026,Negotiation,64.7,2026-05-14
EMP026,SFDC Basics,93.8,2026-06-13
EMP027,Negotiation,81.7,2026-05-27
EMP027,Collection Mgmt,50.2,2026-03-17
EMP027,SFDC Basics,74.4,2026-05-23
EMP028,Negotiation,65.0,2026-04-18
EMP028,SFDC Basics,77.6,2026-02-27
EMP028,Collection Mgmt,68.6,2026-02-11
EMP029,SFDC Basics,83.9,2026-05-15
EMP029,Negotiation,62.7,2026-04-20
EMP029,Product Knowledge,66.8,2026-02-09
EMP030,Negotiation,85.8,2026-02-10
EMP030,SFDC Basics,84.5,2026-05-24
EMP030,Collection Mgmt,57.8,2026-03-01
EMP031,Collection Mgmt,45.9,2026-03-27
EMP031,Product Knowledge,76.4,2026-06-23
EMP031,Negotiation,52.5,2026-05-28
EMP032,Collection Mgmt,70.9,2026-05-14
EMP032,Negotiation,81.8,2026-02-11
EMP032,SFDC Basics,52.4,2026-01-13
EMP033,Cross-sell,71.0,2026-02-12
EMP033,Collection Mgmt,85.7,2026-05-10
EMP033,SFDC Basics,41.8,2026-01-29
EMP034,Negotiation,41.4,2026-06-06
EMP034,Cross-sell,44.9,2026-06-22
EMP034,SFDC Basics,69.3,2026-03-14
EMP035,Product Knowledge,88.8,2026-03-16
EMP035,Cross-sell,89.7,2026-05-20
EMP035,SFDC Basics,45.7,2026-03-22
EMP036,Collection Mgmt,60.3,2026-06-23
EMP036,SFDC Basics,48.0,2026-05-02
EMP036,Negotiation,62.6,2026-01-08
EMP037,Collection Mgmt,83.3,2026-04-08
EMP037,Cross-sell,42.6,2026-05-14
EMP037,SFDC Basics,51.7,2026-02-04
EMP038,Product Knowledge,61.4,2026-03-08
EMP038,Negotiation,78.1,2026-01-15
EMP038,Collection Mgmt,96.1,2026-05-11
EMP039,Collection Mgmt,54.2,2026-03-21
EMP039,Cross-sell,64.7,2026-06-12
EMP039,Product Knowledge,52.1,2026-03-03
EMP040,Product Knowledge,88.0,2026-01-12
EMP040,SFDC Basics,42.4,2026-06-01
EMP040,Collection Mgmt,49.9,2026-06-10
EMP041,Collection Mgmt,58.2,2026-03-29
EMP041,Cross-sell,91.3,2026-01-28
EMP041,Product Knowledge,99.6,2026-04-18
EMP042,Product Knowledge,76.2,2026-01-13
EMP042,Collection Mgmt,87.8,2026-05-19
EMP042,Cross-sell,97.4,2026-01-22
EMP043,SFDC Basics,68.5,2026-02-26
EMP043,Cross-sell,75.1,2026-05-26
EMP043,Product Knowledge,44.3,2026-06-12
EMP044,Collection Mgmt,81.3,2026-02-20
EMP044,Negotiation,72.4,2026-05-01
EMP044,Product Knowledge,98.3,2026-01-20
EMP045,Collection Mgmt,69.6,2026-06-25
EMP045,SFDC Basics,95.7,2026-02-09
EMP045,Cross-sell,54.5,2026-06-24
EMP046,SFDC Basics,71.1,2026-06-23
EMP046,Collection Mgmt,46.5,2026-05-08
EMP046,Cross-sell,49.7,2026-05-15
EMP047,SFDC Basics,77.6,2026-06-08
EMP047,Negotiation,48.5,2026-03-31
EMP047,Cross-sell,55.7,2026-04-15
EMP048,Cross-sell,96.5,2026-03-06
EMP048,Product Knowledge,55.9,2026-03-26
EMP048,Negotiation,87.9,2026-04-21
EMP049,Product Knowledge,92.5,2026-02-02
EMP049,Negotiation,45.9,2026-01-14
EMP049,SFDC Basics,67.7,2026-02-09
EMP050,SFDC Basics,60.5,2026-03-04
EMP050,Product Knowledge,65.1,2026-01-22
EMP050,Collection Mgmt,55.0,2026-06-16
